"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NRG1",1601.94929510672,-2.74465280836816,0.218477504274561,-12.5626334733252,3.38863206688289e-36,5.84844008423319e-32
"ADGRL2",630.091042113593,5.61590102909056,0.501039155451438,11.2085072952644,3.70386936058095e-29,3.19625406471333e-25
"PLAT",917.838199784072,-2.6919630815505,0.245400986644638,-10.9696506047414,5.3478645957109e-28,3.07662650191248e-24
"SEL1L3",335.439155157232,6.67772230390101,0.63210435164682,10.5642720011396,4.36341047491728e-26,1.88270253466493e-22
"CREG1",1486.14066460366,2.41250772948107,0.230621434237388,10.4608998615358,1.306092989448e-25,4.5083717809766e-22
"MXRA8",1495.6502177298,2.88641026414669,0.278837324870347,10.3515921531983,4.11583472978516e-25,1.1839198600227e-21
"TIMP3",3270.47207279074,-2.75266967110942,0.281853671450955,-9.76630766219558,1.57072424493484e-22,3.87273282047577e-19
"RAP1GAP2",119.155751020697,-5.49666276899054,0.566903484212636,-9.69594105886432,3.13731978705708e-22,6.76837527560227e-19
"F11R",218.495604892867,2.79047964205902,0.290672617198931,9.60007746498274,7.98843628752649e-22,1.531915798738e-18
"RSAD2",156.30739754629,-5.91585605190828,0.626564062494762,-9.4417417244669,3.66633558315448e-21,6.32772858296631e-18
"ABI3BP",136.408081199768,4.013527893669,0.446120665062469,8.99650746532219,2.33012202690355e-19,3.48431421849296e-16
"HMGCS1",3469.41458495443,2.03942003122154,0.226797988988232,8.99223154631835,2.42260679192974e-19,3.48431421849296e-16
"ANGPT2",73.5970706820594,-5.32295567332203,0.608089160888873,-8.75357762592118,2.06693601434757e-18,2.74409605166344e-15
"LRRC8C",350.708385656246,-2.49230266254078,0.285034841263443,-8.74385268654675,2.25293164610858e-18,2.77738194858486e-15
"IFI6",1687.89147396191,-3.94869394415715,0.457755515482443,-8.62620724513936,6.34200537568065e-18,7.29711138525816e-15
"SOX11",142.623709777141,-10.6515458264448,1.24250884152235,-8.57261169537776,1.01164156123582e-17,1.09124510658557e-14
"TNFRSF1B",63.7167397442215,-4.68223021139141,0.552176475479257,-8.47959016603797,2.25988558133629e-17,2.29431560284018e-14
"VWA1",133.589696654693,2.96034947521892,0.350238758004024,8.4523754369438,2.85435014383245e-17,2.73684606291135e-14
"SSC5D",196.553783009694,3.04180686167679,0.361326105197196,8.41845307583494,3.81487909898033e-17,3.46531570364745e-14
