"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","extracellular matrix organization","50/669","331/18860",0.151057401812689,4.25850911537715,11.4696733252506,3.14463766848963e-18,6.20916602617242e-15,5.01820147672826e-15,"TIMP3/ABI3BP/TNFRSF1B/VWA1/COL4A1/HMCN1/COL5A1/OLFML2B/COL4A2/TNFRSF11B/TGFBR3/ADAMTS12/PRICKLE1/SCX/HAS3/COL1A1/TGFB2/LAMA2/ADAMTS5/ADAMTS9/ADAMTS1/HAS2/NID1/ITGA2/ADAMTS14/MFAP4/ADAM8/GAS6/PDGFRA/HPSE2/NDNF/CTSK/COL4A6/FOXC2/ZNF469/MMP14/MMP1/POSTN/SMOC1/LCP1/KAZALD1/MPZL3/COL8A2/WT1/ADAMTSL1/MMP28/FMOD/PTX3/MMP12/CARMIL2",50
"GO:0072001","renal system development","48/669","334/18860",0.143712574850299,4.0514486721624,10.7902765332742,1.17529059029902e-16,1.34247567676905e-13,1.08497878704446e-13,"ANGPT2/SOX11/COL4A1/TNS2/KIF26B/PLCE1/EDNRB/PLXND1/WNT5A/ASS1/SPRY1/FRAS1/PDGFD/PDGFRB/ENPEP/PRICKLE1/NOG/CDKN1C/TGFB2/WNK4/ADAMTS1/MAGI2/JAG1/HAS2/PDGFB/NID1/PDGFA/DCHS1/BCL2L11/RDH10/WNT7B/PDGFRA/GLI2/LIF/DLL1/FOXC2/OSR1/PROX1/SLIT2/KIRREL3/HOXD11/GFRA1/BMP4/SERPINB7/WT1/PTPRO/ID2/ACTA2",48
"GO:0007416","synapse assembly","34/669","284/18860",0.119718309859155,3.37501842144045,7.7338216673723,5.77831801594409e-10,3.30014187685607e-07,2.66714994735946e-07,"ADGRL2/RELN/SLITRK6/IL1RAPL1/ELMO1/PLXND1/WNT5A/LZTS1/ADGRL3/DKK1/NRXN1/MARK1/LRRN3/BDNF/PRICKLE1/PCDHB11/CLSTN3/FGF13/PCDHB5/PCDHB4/DOCK4/NEGR1/DNER/NRCAM/CLSTN2/CSMD2/KIRREL3/NEURL1/PLXNC1/CYFIP2/PCDH17/PCDHB16/RTN4R/EPHB3",34
"GO:0006935","chemotaxis","46/669","474/18860",0.0970464135021097,2.73586750171867,7.34017167821469,6.73089991979246e-10,3.41705352594797e-07,2.76163706650666e-07,"NRG1/ANGPT2/HGF/MTUS1/PPIB/EDNRB/WNT5A/SEMA6D/NEDD9/CSF1R/PDGFD/PDGFRB/HSPB1/RARRES2/LPAR1/TGFB2/CCN3/PDGFB/CXADR/CCR3/ITGA2/PDGFA/ADAM8/NTF3/DOCK4/WNT7B/HBEGF/GAS6/PDGFRA/CYSLTR1/PDE4B/CMTM8/SLIT2/GPNMB/F3/BMP4/CMTM3/PADI2/GPR183/PTN/PGF/RIPOR2/PTPRO/KIT/MMP28/HOXB9",46
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","25/669","168/18860",0.148809523809524,4.19513844401737,7.97738473123849,1.28092447386592e-09,5.32049447372125e-07,4.29998378403985e-07,"HMCN1/PALLD/MYPN/PCDHB11/CELSR1/PCDHGA10/CDH12/CLSTN3/DCHS1/PCDHB5/PCDHB4/DSC2/CDH5/PCDHA3/CDH6/PCDHAC2/CLSTN2/CDH7/PCDHB12/KIRREL3/PCDHA4/PCDHAC1/CEACAM1/PCDH17/PCDHB16",25
"GO:0051960","regulation of nervous system development","44/669","466/18860",0.0944206008583691,2.66184235005806,6.96608535805796,3.72802726670902e-09,1.31025819858412e-06,1.05894086247897e-06,"SOX11/TNFRSF1B/RELN/SLITRK6/IL1RAPL1/PRTG/PLXND1/WNT5A/BHLHE40/DKK1/IGDCC4/SEMA6D/NRXN1/MAP2/LRRN3/BDNF/NOG/EGR2/CTSC/TRPV2/CLSTN3/ID4/FGF13/JAM2/LIF/CRABP2/NEGR1/NKX2-2/DLL1/CLSTN2/PROX1/PRKCH/SLIT2/PAX6/NEURL1/PLXNC1/PTN/GATA2/KIT/ID2/DLX2/CDON/RTN4R/EPHB3",44
"GO:0007409","axonogenesis","43/669","472/18860",0.0911016949152542,2.56827797623572,6.61714875161623,1.62328948291676e-08,4.3628292043804e-06,3.52600588611269e-06,"RELN/SLITRK6/ACTBL2/PALLD/PLXND1/WNT5A/SEMA6D/NRXN1/MAP2/CSF1R/MYPN/BDNF/PRICKLE1/NOG/BOC/TGFB2/LAMA2/CELSR1/TSKU/EGR2/KIAA1755/TRPV2/FGF13/PRDM8/NTNG1/WNT7B/GLI2/CRABP2/EPHA3/NRCAM/PCDHAC2/BRSK1/SLIT2/ATP8A2/NDP/PAX6/PLXNC1/CYFIP2/PLPPR4/PTPRO/RTN4R/EPHB3/NGFR",43
"GO:0042063","gliogenesis","35/669","357/18860",0.0980392156862745,2.7638559160585,6.45238453959256,5.99142655500912e-08,1.44078041735983e-05,1.16442794210371e-05,"MXRA8/SOX11/TNFRSF1B/NDRG1/RELN/ITGB4/CSF1R/GPC1/NOG/LPAR1/TGFB2/LAMA2/FGF5/EGR2/ID4/TSPAN2/PRDM8/LIF/NEGR1/DNER/NKX2-2/DLL1/MMP14/PRKCH/SOX2/NDP/PAX6/ARSG/GPR183/P2RY1/PTN/PTPRB/ID2/FA2H/DLX2",35
"GO:0060326","cell chemotaxis","33/669","330/18860",0.1,2.81913303437967,6.39334032350008,8.98581689812666e-08,2.05280987037704e-05,1.65906556203307e-05,"HGF/MTUS1/PPIB/EDNRB/WNT5A/NEDD9/CSF1R/PDGFD/PDGFRB/HSPB1/RARRES2/LPAR1/TGFB2/CCN3/PDGFB/CXADR/CCR3/ADAM8/DOCK4/HBEGF/GAS6/PDGFRA/PDE4B/SLIT2/PADI2/GPR183/PTN/PGF/RIPOR2/PTPRO/KIT/MMP28/HOXB9",33
"GO:0001654","eye development","39/669","432/18860",0.0902777777777778,2.5450506560372,6.23002223413278,9.70795791061202e-08,2.11217427112316e-05,1.70704342608656e-05,"SOX11/COL4A1/SLITRK6/COL5A1/EFEMP1/WNT5A/B3GLCT/WNT9A/SPRY1/PDGFRB/TBX2/PRICKLE1/CDKN1C/TGFB2/ADAMTS9/JAG1/TSKU/MFAP2/RDH10/WNT7B/PDGFRA/NES/MAF/DLL1/FOXC2/PROX1/FOS/ATP8A2/SOX2/SMOC1/NDP/BMP4/PAX6/ARSG/COL8A2/MEIS3/WT1/DLX2/CDON",39
