Geneid	Chr	Start	End	Strand	Length	CRISPR_one	CRISPR_three	CRISPR_two	control_one	control_three	control_two
DDX11L16	.	.	.	.	.	0	4	0	0	0	0
DDX11L1	.	.	.	.	.	0	0	0	0	0	0
WASH7P	.	.	.	.	.	30	24	13	12	21	11
MIR6859-1	.	.	.	.	.	0	0	0	0	0	0
MIR1302-2HG	.	.	.	.	.	0	0	1	0	1	0
MIR1302-2	.	.	.	.	.	0	0	0	0	0	0
FAM138A	.	.	.	.	.	0	1	0	0	0	0
ENSG00000308361	.	.	.	.	.	0	0	0	0	0	0
ENSG00000290826	.	.	.	.	.	0	0	0	0	0	0
OR4G4P	.	.	.	.	.	0	0	0	0	0	0
OR4G11P	.	.	.	.	.	0	0	0	0	0	0
OR4F5	.	.	.	.	.	0	0	0	0	0	0
ENSG00000241860	.	.	.	.	.	0	0	0	0	0	0
ENSG00000239945	.	.	.	.	.	0	0	0	0	0	0
ENSG00000308314	.	.	.	.	.	0	0	0	0	0	0
CICP27	.	.	.	.	.	0	0	0	0	0	0
ENSG00000308579	.	.	.	.	.	0	0	0	0	0	0
ENSG00000268903	.	.	.	.	.	0	0	0	0	0	0
ENSG00000269981	.	.	.	.	.	0	0	0	0	0	0
ENSG00000239906	.	.	.	.	.	0	0	0	0	0	0
ENSG00000310528	.	.	.	.	.	0	0	0	0	0	0
RNU6-1100P	.	.	.	.	.	0	0	0	0	0	0
ENSG00000241599	.	.	.	.	.	0	0	0	0	0	0
DDX11L2	.	.	.	.	.	4	2	2	0	2	0
WASH9P	.	.	.	.	.	15	17	39	7	28	9
DDX11L17	.	.	.	.	.	0	0	0	0	0	0
MIR6859-2	.	.	.	.	.	0	0	0	0	0	0
ENSG00000308625	.	.	.	.	.	0	0	0	0	0	0
ENSG00000308544	.	.	.	.	.	0	0	0	0	0	0
ENSG00000292994	.	.	.	.	.	4	5	1	10	8	2
ENSG00000228463	.	.	.	.	.	0	0	0	0	0	0
ENSG00000306775	.	.	.	.	.	0	0	0	0	0	0
ENSG00000286448	.	.	.	.	.	0	0	0	0	2	0
RPL23AP24	.	.	.	.	.	0	0	0	0	0	0
ENSG00000236601	.	.	.	.	.	0	0	0	0	1	0
ENSG00000290385	.	.	.	.	.	0	2	2	1	4	4
